E0	1993-12-03 12:00	1993-12-03 09:00	1993-12-03 15:00	0Y0M0D0H5m	0Y0M0D0H2m	0Y0M0D0H10m				
E17	1993-11-15 12:00	1993-11-01 12:00	1993-11-25 12:00	0Y0M0D0H30m	0Y0M0D0H20m	0Y0M0D1H0m				
E18	1993-11-15 12:30	1993-11-01 12:20	1993-11-25 13:00	0Y0M0D0H45m	0Y0M0D0H30m	0Y0M0D1H0m				
E19	1993-11-15 12:30	1993-11-01 12:20	1993-11-25 13:00	0Y0M0D0H45m	0Y0M0D0H30m	0Y0M0D1H0m				
E56	1993-11-17 12:30	1993-11-02 12:20	1993-11-28 13:00	0Y0M16D0H0m	0Y0M6D0H0m	0Y1M2D0H0m				
E57	1993-10-01 12:00	1993-09-01 12:00	1993-10-24 12:00	0Y2M2D0H0m	0Y1M9D0H0m	0Y3M2D0H0m				
E58	1993-10-01 12:00	1993-09-01 12:00	1993-10-24 12:00	0Y2M2D0H0m	0Y1M9D0H0m	0Y3M2D0H0m				
E44	1988-12-03 09:00	1986-12-03 09:00	1992-12-03 09:00	5Y0M0D0H0m	1Y0M0D0H0m	7Y0M0D0H0m				
E59	1983-12-03 12:00	1946-12-03 12:00	1991-12-03 12:00	10Y0M0D0H0m	2Y0M0D0H0m	47Y0M0D0H0m				
E60	1983-12-03 12:00	1946-12-03 12:00	1991-12-03 12:00	10Y0M0D0H0m	2Y0M0D0H0m	47Y0M0D0H0m				
E61	1983-12-03 12:00	1946-12-03 12:00	1991-12-03 12:00	10Y0M0D0H0m	2Y0M0D0H0m	47Y0M0D0H0m				
E62	1988-12-03 09:00	1986-12-03 09:00	1992-12-03 09:00	5Y0M0D0H0m	1Y0M0D0H0m	7Y0M0D0H0m				
E45	1993-12-03 12:05	1993-12-03 09:02	1993-12-03 15:10	0Y0M0D0H10m	0Y0M0D0H5m	0Y0M0D0H15m				
E63	1976-12-03 12:00	1966-12-03 09:00	1986-12-03 15:00	17Y0M0D0H0m	7Y0M0D0H0m	27Y0M0D0H0m				
E64	1976-12-03 12:00	1966-12-03 09:00	1986-12-03 15:00	17Y0M0D0H0m	7Y0M0D0H0m	27Y0M0D0H0m				
E65	1993-10-01 12:00	1993-09-01 12:00	1993-10-24 12:00	0Y2M2D0H0m	0Y1M9D0H0m	0Y3M2D0H0m				
E20	1993-12-03 12:05	1993-12-03 09:02	1993-12-03 16:00	0Y0M0D0H45m	0Y0M0D0H30m	0Y0M0D1H0m				
E46	1993-12-03 12:00	1993-12-03 09:00	1993-12-03 15:00	0Y0M0D0H5m	0Y0M0D0H2m	0Y0M0D0H10m				
E66	1993-12-03 12:50	1993-12-03 09:32	1993-12-03 17:00	0Y0M0D0H15m	0Y0M0D0H10m	0Y0M0D0H20m				
E67	1993-12-03 12:50	1993-12-03 09:32	1993-12-03 17:00	0Y0M0D0H15m	0Y0M0D0H10m	0Y0M0D0H20m				
E68	1993-12-03 12:50	1993-12-03 09:32	1993-12-03 17:00				1993-12-04 10:00	1993-12-04 08:00	1993-12-04 12:00	
E69	1993-12-03 12:50	1993-12-03 09:32	1993-12-03 17:00				1993-12-04 10:00	1993-12-04 08:00	1993-12-04 12:00	
E21	1993-12-04 10:00	1993-12-04 08:00	1993-12-04 13:00	0Y0M0D0H45m	0Y0M0D0H30m	0Y0M0D1H0m				
E22	1993-12-04 10:00	1993-12-04 08:00	1993-12-04 13:00	0Y0M0D4H0m	0Y0M0D2H0m	0Y0M0D6H0m				
E70	1993-12-04 10:00	1993-12-04 08:00	1993-12-04 13:00	0Y0M0D4H0m	0Y0M0D2H0m	0Y0M0D6H0m				
E47	1993-11-17 12:30	1993-11-02 12:20	1993-11-28 13:00	0Y0M16D0H0m	0Y0M6D0H0m	0Y1M2D0H0m				
E23	1993-12-04 10:00	1993-12-04 08:00	1993-12-04 13:00	0Y0M0D4H0m	0Y0M0D2H0m	0Y0M0D6H0m				
E24	1993-12-04 10:00	1993-12-04 08:00	1993-12-04 13:00	0Y0M0D4H0m	0Y0M0D2H0m	0Y0M0D6H0m				
E25	1993-12-04 10:00	1993-12-04 08:00	1993-12-04 13:00	0Y0M0D4H0m	0Y0M0D2H0m	0Y0M0D6H0m				
E26	1993-12-04 10:00	1993-12-04 08:00	1993-12-04 13:00	0Y0M0D4H0m	0Y0M0D2H0m	0Y0M0D6H0m				
E71	1993-12-04 14:00	1993-12-04 10:00	1993-12-04 19:00	0Y0M0D18H0m	0Y0M0D14H0m	0Y0M1D0H0m				
E39	1993-12-04 14:00	1993-12-04 10:00	1993-12-04 19:00	0Y0M0D18H0m	0Y0M0D14H0m	0Y0M1D0H0m				
E27	1993-12-04 14:00	1993-12-04 10:00	1993-12-04 19:00	0Y0M0D18H0m	0Y0M0D14H0m	0Y0M1D0H0m				
E28	1993-12-04 14:00	1993-12-04 10:00	1993-12-04 19:00	0Y0M0D18H0m	0Y0M0D14H0m	0Y0M1D0H0m				
E72	1993-12-04 14:00	1993-12-04 10:00	1993-12-04 19:00	0Y0M0D18H0m	0Y0M0D14H0m	0Y0M1D0H0m				
E73	1993-12-05 08:00	1993-12-05 00:00	1993-12-05 19:00	0Y0M0D0H10m	0Y0M0D0H5m	0Y0M0D0H15m				
E74	1993-12-05 08:00	1993-12-05 00:00	1993-12-05 19:00				1993-12-10 12:00	1993-12-10 09:00	1993-12-10 18:00	
